ID;LABEL;ARTICLE
1;human;W ostatnich dniach hiszpańskie media mocno żyły możliwym zawieszeniem Roberta Lewandowskiego na nadchodzące El Clasico. Dziennikarze Mundo Deportivo przekonują jednak, że szanse na dodatkową karę dla polskiego napastnika są znikome.Robert Lewandowski wymusił otrzymanie żółtej kartki w sobotnim meczu FC Barcelony z UD Las Palmas (1:0)Polak zrobił to specjalnie, by wykartkować się przed hitowym starciem z Realem Madryt. Media sugerowały, że napastnik może otrzymać dodatkową karę. Wydaje się to jednak bardzo mało prawdopodobne. W minioną sobotę FC Barcelona – nie bez problemów – pokonała UD Las Palmas. Jedyną bramkę w spotkaniu strzelił w drugiej połowie Raphinha. W starciu tym wystąpiło czterech zawodników Blaugrany z czterema żółtymi kartkami na koncie. Plan był jasny – wykartkować się na najbliższy mecz przeciwko Cadizowi (który przypada pomiędzy spotkaniami z Paris Saint-Germain), by uniknąć absencji w El Clasico. Inigo Martinez i Joao Cancelo załatwili sprawy bez ceregieli, faulując swoich rywali. Robert Lewandowski, z kolei, ostentacyjnie powoli opuszczał boisko podczas zmiany. Dopiero, gdy arbiter pokazał mu “upragnioną” żółtą kartkę, zszedł z murawy. Hiszpańskie media natychmiast podchwyciły temat. Zawodnik wymuszający karę może zostać ukarany dodatkowo jednym meczem zawieszenia. Wówczas Polaka zabrakłoby w El Clasico. Dziennikarze Mundo Deportivo uspokajają jednak fanów Blaugrany. W regulaminie rozgrywek jasno stoi bowiem, że podstawą do ukarania piłkarza jest raport sędziego. Arbiter nie wspomniał jednak ani słowem o wymuszaniu żółtego kartonika, a jedynie o zbyt powolnym opuszczaniu boiska. Wspomniane źródło podkreśla, że wizja dodatkowej sankcji dla 35-latka jest skrajnie mało prawdopodobna. Lewandowski rozegrał w tym sezonie już 40 spotkań we wszystkich rozgrywkach. Zanotował w nich 20 bramek i dziewięć asyst.
2;human;Sport przekonuje, że piłkarze FC Barcelony nadal wierzą w mistrzostwo Hiszpanii w obecnej kampanii mimo dość sporej straty punktowej do Realu Madryt. Wydaje się, że po raz pierwszy od lat FC Barcelona poprawiła formę we właściwym momencie sezonu, mając obecnie passę 11 meczów bez porażki od czasu przegranej z Villarreal 3:5. Od tego momentu strzelili cztery gole z Getafe, trzy z Napoli i trzy z Atletico Madryt, a w sobotę odnieśli chaotyczne, ale ważne zwycięstwo 1:0 z Las Palmas, które doda im energii przed rywalizacją z PSG w Lidze Mistrzów. Jak wynika z doniesień katalońskiego Sportu, Barcelona wierzy, że nadrobiła zaległości we właściwym momencie sezonu i że nadal może walczyć o mistrzostwo La Liga, mimo obecnej straty do Królewskich wynoszącej osiem punktów. Szatnia Barcelony jest pewna swoich szans w meczu przeciwko Realowi Madryt w nadchodzącym El Clasico, kiedy mogliby potencjalnie zmniejszyć różnicę dzielącą ich od Królewskich. Gracze Blaugrany liczą również, że Los Blancos mogą zgubić punkty, gdy będą między meczami w Lidze Mistrzów.
3;human;Kataloński Sport donosi, że FC Barcelona już otrzymała kilka ofert kupna 19-letniego obrońcy Mikayila Faye'a, który ma za sobą fantastyczny okres. Senegalczyk dał już się poznać szerszej publiczności wzbudzając olbrzymie zainteresowanie. Mikayil Faye coraz mocniej puka do pierwszego zespołu FC Barcelony. Młody gracz ma za sobą znakomity sezon w drużynie rezerw, co zaprocentowało debiutem w reprezentacji Senegalu. Niedawno Sport informował, że Duma Katalonii musi zdecydować o jego przyszłości mając dwie opcje. Pierwszą jest włączenie go do drużyny prowadzonej przez Xaviego, a drugą sprzedaż, ponieważ defensor ma ambicje, by grać na najwyższym poziomie. Teraz katalońscy dziennikarze informują, że Blaugrana już otrzymała kilka ofert kupna za swoją perełkę. Największe zainteresowanie wyrażają kluby z Francji oraz Anglii, a 19-latek jest obecnie wyceniany na około 25 milionów euro.
4;human;Barcelona planuje wyjaśnić w najbliższym czasie przyszłość Sergiego Roberto. Między stronami dojdzie do spotkania, które może zaowocować podpisaniem nowej umowy. Barcelona musi podjąć szereg istotnych decyzji przed startem letniego okienka transferowego. Jednym z tematów, które należy rozwiązać, jest przyszłość Sergiego Roberto. Do tej pory wydawało się, że Blaugrana nie będzie pracować nad jego zatrzymaniem. Umowa wygasała wraz z końcem sezonu, co uchodziło za odpowiedni czas, aby go pożegnać. W ostatnich tygodniach Roberto skorzystał na problemach kadrowych, częściej występując w pierwszym składzie i pokazując się z naprawdę dobrej strony. Władze klubu dostrzegły w nim wymarzonego rezerwowego, który w razie potrzeby wejdzie na boisko i zapewni wysoką jakość. Pojawił się więc temat zatrzymania go w Katalonii na kolejny sezon. Niebawem ma dojść do spotkania między przedstawicielami Barcelony a Roberto i jego agentami. Strony wspólnie uzgodnią, co będzie najlepsze dla przyszłości zawodnika. Ten od samego początku stawia na Blaugranę i jest chętny przedłużyć kontrakt na tych samych warunkach.
5;human;Eder Militao wreszcie wrócił do gry. Obrońca Realu Madryt doznał na początku sezonu poważnej kontuzji, która wyeliminowała go na wiele miesięcy. Eder Militao w pierwszej kolejce tego sezonu zerwał więzadła krzyżowe, poważnie osłabiając defensywę Realu Madryt. Na powrót do gry czekał wiele miesięcy. Kibice nie mogli się doczekać, kiedy znowu zobaczą na murawie jednego z najważniejszych zawodników. Przed meczem z Athletic Club Carlo Ancelotti potwierdził, że Brazylijczyk jest gotowy, aby rozegrać kilka minut. W doliczonym czasie gry Militao pojawił się na murawie. Kibice przywitali go gromkimi brawami, a koledzy z drużyny wyściskali z namiętnością. Po ostatnim gwizdku 26-latek udzielił krótkiego wywiadu, przyznając, że to dla niego wielki moment. – Czuję dużą radość i jestem wielce szczęśliwy. Gdy otrzymałem wsparcie kibiców po wyjściu na rozgrzewkę, to poczułem radość, której nie jestem w stanie opisać. Wiele razy myślałem o powrocie. To były trudne dni, ale teraz cieszę się dobrymi chwilami – wyznał Militao.
6;human;Kylian Mbappe ma latem zasilić szeregi Realu Madryt. Wiele wskazuje na to, że na tym transferze ucierpi Rodrygo. Brazylijczyk zapowiada rywalizację o skład z gwiazdorem. Rodrygo w niedzielę samodzielnie przesądził o zwycięstwie Realu Madryt nad Athletic Club. Brazylijczyk zdobył dwie bramki, odpowiadając tym samym na krytykę ze strony mediów oraz kibiców. Pojawiają się wokół niego głosy, że ten nie jest wystarczająco skuteczny, aby stanowić o sile Królewskich. Wszystko wskazuje na to, że latem na Santiago Bernabeu trafi Kylian Mbappe, bohater absolutnego hitu transferowego. Nie ma wątpliwości, że gwiazdor niezwłocznie trafi do wyjściowej jedenastki Realu Madryt. Uważa się, że Carlo Ancelotti posadzi wówczas Rodrygo, gdyż ten nie gwarantuje wystarczającej jakości. Po meczu z Athletikiem Rodrygo wypowiedział się na temat potencjalnego transferu Mbappe. Przyznał, że nie obawia się rywalizacji z Francuzem i zamierza walczyć o swoje. – Mbappe w Realu? Mając na uwadze słowa dziennikarzy, jest blisko. Ja nic o tym nie wiem. Jeśli Mbappe przyjdzie, zostanę posadzony na ławce? To będzie radosny problem dla trenera. Skupiam się tylko na Realu – wyjaśnił Rodrygo, odpowiadając przy tym na plotki łączące go z transferem.
7;human;Andreas Christensen z powodu urazu nie wystąpił w dwóch ostatnich spotkaniach FC Barcelony. Dziennikarze Mundo Deportivo przekonują jednak, że reprezentanta Danii nie zabraknie już podczas pierwszego spotkania ćwierćfinału Ligi Mistrzów przeciwko Paris Saint-Germain. Odkąd Xavi Hernandez ujawnił swoją decyzję o opuszczeniu FC Barcelony po sezonie, zespół nie zanotował ani jednej porażki. Mało tego, znowu wygląda pewnie w obronie, a do tego zakwalifikował się do grona najlepszych ośmiu klubów w Europie. Wielu ekspertów poprawę wyników drużyny zestawiało z przestawieniem Andreasa Christensena na pozycję defensywnego pomocnika. Reprezentant Danii gwarantował drużynie spokój i siłę fizyczną w drugiej linii. Dlatego też fani Blaugrany przestraszyli się, gdy 27-latek wypadł z meczu z Atletico Madryt na godzinę przed pierwszym gwizdkiem. Ostatecznie, jednak, jego miejsce przejął Sergi Roberto, a Duma Katalonii wygrała aż 3:0. Okazało się, że Christensen cierpi na uraz ścięgna Achillesa. Przez kontuzję piłkarza ominęło marcowe zgrupowanie reprezentacji Danii. Wydawało się jednak, że w tym czasie wróci do pełni zdrowia. Zabrakło go jednak w sobotnim starciu z UD Las Palmas (1:0). Dziennikarze Mundo Deportivo uspokajają jednak środowisko FC Barcelony. Według nich Christensen, podobnie jak Ronald Araujo, znalazł się na ławce rezerwowych ze względów bezpieczeństwa. Zespół ma aż dziesięć dni odpoczynku przed pierwszym meczem z Paris Saint-Germain, dlatego też Xavi Hernandez nie chciał ryzykować nawrotem urazów. To samo źródło przekonuje, że występ Duńczyka na Parc des Princes nie stoi pod znakiem zapytania. Co istotne, niewykluczony jest także powrót do zdrowia Pedriego. Klub w żadnym wypadku nie zamierza jednak zmuszać swojego pomocnika do pośpiechu. Christensen rozegrał w tym sezonie już 33 spotkania. Zanotował dwie asysty w La Lidze.
8;human;Carlo Ancelotti ma umowę z Realem Madryt do 2026 roku. Jak twierdzi Matteo Moretto, władze Królewskich uważają, że idealnym następcą Włocha będzie Xabi Alonso. Carlo Ancelotti to absolutny pewniak do prowadzenia Realu Madryt w sezonie 2024/2025. Natomiast później na ławce trenerskiej Królewskich mogą zajść poważne zmiany. Włoch ma umowę do 2026 roku, ale dotrwanie do końca kontraktu jest oczywiście zależne od wyników drużyny. Real Madryt słynie z tego, że skrupulatnie planuje swoją przyszłość. Jak informuje Matteo Moretto z serwisu Relevo, władze Los Blancos powoli rozglądają się za następcą Ancelottiego. Ponoć w obozie Królewskich panuje przekonanie, że idealnym kandydatem jest Xabi Alonso, aktualny trener Bayeru Leverkusen. Hiszpan pewnie zmierza po mistrzostwo Niemiec i szybko znalazł się na liście życzeń takich klubów jak m.in. Liverpool i Bayern. Wiadomo już, że Alonso odrzucił zaloty wielkich marek i zostanie w Bayerze na kolejny sezon. Według mediów były znakomity piłkarz szykuje się do objęcia Realu.
9;human;Girona FC wciąż nie rzuciła ręcznika w walce z FC Barceloną o drugie miejsce w tabeli La Ligi. W niedzielę Katalończycy w samej końcówce pokonali Real Betis, a kluczowego gola strzeliła żywa legenda klubu, Christian Stuani. Girona FC w ostatniej kolejce przed marcową przerwą reprezentacyjną straciła drugie miejsce w tabeli La Ligi. Sama przegrała 0:1 z Getafe CF, zaś FC Barcelona zdemolowała Atletico Madryt (3:0). Z kolei w sobotę Blaugrana dała radę wypunktować UD Las Palmas (1:0), wywierając presję – nie tylko na Real Madryt, ale i na “sąsiadów” z Katalonii. Mecz z Realem Betis nie był łatwy. Na nieszczęście dla Roberta Lewandowskiego, przełamał się w nim Artem Dowbyk. Ukraiński napastnik najpierw otworzył wynik po rzucie karnym, a po przerwie wykorzystał podanie Portu. Te gole przedzieliło jeszcze piękne trafienie Williana Jose, który wrzucił piłkę za kołnierz Paulo Gazzanigi. Ten dublet Dowbyka oznacza, że ma już na koncie 16 bramek. Tyle samo mają na koncie Jude Bellingham i Ante Budimir. Robert Lewandowski ma na koncie “zaledwie” 13 trafień i w pierwszej kolejności musi wyprzedzić Alvaro Moratę (14), by wierzyć w obronę korony króla strzelców. Ostatecznie spotkanie zakończyło się zwycięstwem Katalończyków 3:2. Już w doliczonym czasie gry wprowadzony z ławki Christian Stuani zdołał na raty pokonać Ruiego Silvę. Tym samym Girona FC utrzymuje dystans dwóch punktów do Blaugrany.
10;human;Rodrygo zdobył gola w meczu z Athletikiem Bilbao. Brazylijczyk ruszył na bramkę i kapitalnie uderzył sprzed pola karnego. Rodrygo w ostatnim czasie nie prezentował się najlepiej. Brazylijczyk nie mógł znaleźć odpowiedniego rytmu, co potwierdza fakt, że nie zdobył gola w La Liga w pięciu meczach z rzędu. Upragnione przełamanie Rodrygo przyszło w starciu z Athletikiem Bilbao. Skrzydłowy Realu Madryt przejął piłkę na lewej stronie i długo się nie zastanawiając, ruszył na bramkę przyjezdnych. Po chwili Brazylijczyk wypracował sobie świetną okazję do oddania strzału. Wykorzystał ją doskonale, bo po uderzeniu wszyscy fani na Santiago Bernabeu podnieśli się z krzeseł, a piłkarz mógł świętować swoje dziewiąte trafienie w tym sezonie ligi hiszpańskiej. Ostatecznie Real Madryt pokonał Athletic 2:0. Drugą bramkę także zdobył Rodrygo, który tym razem zabawił się w polu karnym rywali.
